Quantity,Description,Digi-Key Part Number,Manufacturer Part Number,Manufacturer Name,Unit Price,Extended Price,Customer Reference
2,RES SMD 360 OHM 1% 1/4W 1206,311-360FRCT-ND,RC1206FR-07360RL,Yageo,0.10000,$0.20,
1,RES SMD 200 OHM 1% 1/4W 1206,311-200FRCT-ND,RC1206FR-07200RL,Yageo,0.10000,$0.10,
2,RES SMD 47K OHM 1% 1/4W 1206,311-47.0KFRCT-ND,RC1206FR-0747KL,Yageo,0.10000,$0.20,
14,RES SMD 10K OHM 1% 1/4W 1206,311-10.0KFRCT-ND,RC1206FR-0710KL,Yageo,0.07400,$1.04,
5,RES SMD 470 OHM 1% 1/4W 1206,311-470FRCT-ND,RC1206FR-07470RL,Yageo,0.10000,$0.50,
2,RES SMD 390 OHM 1% 1/4W 1206,311-390FRCT-ND,RC1206FR-07390RL,Yageo,0.10000,$0.20,
1,RES 47 OHM 1% 1/2W 1206,13-RC1206FR-7W47RLCT-ND,RC1206FR-7W47RL,Yageo,0.21000,$0.21,R310
1,RES 1 OHM 1% 1/2W 1206,13-AC1206FR-7W1RLCT-ND,AC1206FR-7W1RL,Yageo,0.24000,$0.24,R914
22,RES SMD 47 OHM 1% 1/4W 1206,311-47.0FRCT-ND,RC1206FR-0747RL,Yageo,0.07400,$1.63,
6,RES SMD 68 OHM 1% 1/4W 1206,311-68.0FRCT-ND,RC1206FR-0768RL,Yageo,0.10000,$0.60,
1,RES ARRAY 9 RES 2.7K OHM 10SIP,4610X-1-272LF-ND,4610X-101-272LF,Bourns Inc.,0.63000,$0.63,RN101
2,RES ARRAY 9 RES 4.7K OHM 10SIP,4610X-1-472LF-ND,4610X-101-472LF,Bourns Inc.,0.55000,$1.10,"RN100, RN705"
1,RES ARRAY 9 RES 470 OHM 10SIP,4610X-1-471LF-ND,4610X-101-471LF,Bourns Inc.,0.63000,$0.63,RN503
1,RES ARRAY 9 RES 10K OHM 10SIP,4610X-1-103LF-ND,4610X-101-103LF,Bourns Inc.,0.55000,$0.55,
5,RES ARRAY 9 RES 1K OHM 10SIP,4610X-1-102LF-ND,4610X-101-102LF,Bourns Inc.,0.55000,$2.75,"RN700, RN701, RN702, RN703, RN704"
2,RES ARRAY 9 RES 3.3K OHM 10SIP,4610X-1-332LF-ND,4610X-101-332LF,Bourns Inc.,0.55000,$1.10,"RNX1, RNX2"
1,RES ARRAY 8 RES 4.7K OHM 9SIP,4609X-101-472LF-ND,4609X-101-472LF,Bourns Inc.,0.50000,$0.50,
1,RES ARRAY 7 RES 4.7K OHM 8SIP,4608X-1-472LF-ND,4608X-101-472LF,Bourns Inc.,0.44000,$0.44,
1,RES ARRAY 5 RES 1K OHM 10SIP,4610X-2-102LF-ND,4610X-102-102LF,Bourns Inc.,0.55000,$0.55,RN802
2,RES ARRAY 4 RES 47 OHM 8SIP,4608X-2-470LF-ND,4608X-102-470LF,Bourns Inc.,0.44000,$0.88,"RN102, RN902"
8,IC TXRX NON-INVERT 5.5V 20SOIC,74HCT245DCT-ND,74HCT245D,Toshiba Semiconductor and Storage,0.54000,$4.32,
2,IC LATCH TRANSP OCT D 3ST 20SOIC,1727-2847-1-ND,"74HCT373D,653",Nexperia USA Inc.,0.60000,$1.20,
1,IC INVERTER 6CH 6-INP 14SOIC,296-31832-1-ND,SN74HCT04DRG4,Texas Instruments,0.41000,$0.41,
2,IC FF D-TYPE DUAL 1BIT 14SOIC,296-1211-1-ND,SN74HCT74DR,Texas Instruments,0.39000,$0.78,
