Ref,Value,Device
CN201,Amiga-2000-Video-Slot,Slot
CN203,Amiga-2000-Video-Slot,Slot
CN601,Amiga-2000-Zorro-Slot,Slot
CN602,Amiga-2000-Zorro-Slot,Slot
CN603,Amiga-2000-Zorro-Slot,Slot
CN604,Amiga-2000-Zorro-Slot,Slot
CN605,Amiga-2000-Zorro-Slot,Slot
CN700,ISA-16-BIT-Slot,Slot
CN701,ISA-16-BIT-Slot,Slot
CN702,ISA-16-BIT-Slot,Slot
U503,CY62157,SRAM
