Quantity,Description,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Customer Reference,Unit Price,Extended Price
3,IC GATE AND 4CH 2-INP 14SOIC,296-14862-1-ND,SN74HCT08DR,Texas Instruments,,0.4,$1.20
2,IC GATE NAND 4CH 2-INP 14SOIC,296-14860-1-ND,SN74HCT00DR,Texas Instruments,,0.4,$0.80
1,IC GATE NAND OPEN 4CH 2IN 14SOIC,296-29733-1-ND,SN74LS38DR,Texas Instruments,,0.99,$0.99
2,IC GATE OR 4CH 2-INP 14SO,1727-3406-ND,"74HCT32D,652",Nexperia USA Inc.,,0.35,$0.70
1,IC INVERT SCHMITT 6CH 6-INP 14SO,1727-2836-1-ND,"74HCT14D,653",Nexperia USA Inc.,,0.36,$0.36
1,IC INVERTER 6CH 6-INP 14SOIC,296-31832-1-ND,SN74HCT04DRG4,Texas Instruments,,0.37,$0.37
2,IC LATCH TRANSP OCT D 3ST 20SOIC,1727-2847-1-ND,"74HCT373D,653",Nexperia USA Inc.,,0.46,$0.92
1,IC MULTIPLEXER 4 X 2:1 16SOIC,296-31835-1-ND,SN74HCT157DR,Texas Instruments,,0.53,$0.53
1,IC OPAMP JFET 4 CIRCUIT 14SO,497-LF347DTCT-ND,LF347DT,STMicroelectronics,,0.63,$0.63
1,IC PRIORITY ENCOD 1 X 8:3 16SOIC,296-29445-1-ND,SN74LS148DR,Texas Instruments,,1.58,$1.58
1,IC QUAD DIFF COMPARATOR 14 -SOIC,296-6604-1-ND,LM339ADR,Texas Instruments,,0.4,$0.40
1,IC RECEIVER 0/4 14SOIC,296-14957-1-ND,SN75189DR,Texas Instruments,,0.58,$0.58
1,IC REG LINEAR -5V 1A D2PAK,MC7905CD2TGOS-ND,MC7905CD2TG,ON Semiconductor,,0.78,$0.78
1,IC SRAM 8MBIT PARALLEL 44TSOP II,428-3574-1-ND,CY62157EV30LL-45ZSXIT,Cypress Semiconductor Corp,,9.55,$9.55
1,IC SUPERVISOR 1 CHANNEL SOT23-3,DS1813R-5+CT-ND,DS1813R-5+T&R,Maxim Integrated,,2.53,$2.53
