Reference,Value,Component Type,Footprint
R602D1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R602E1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R602F1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R602G1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R602H1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R602I1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R603,1k,Resistor,Resistor_SMD:R_1206_3216Metric
R603A1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R603B1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R603C1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R603D1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R603E1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R603F1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R603G1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R603H1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R603I1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R604,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R604A1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R604B1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R604C1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R604D1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R604E1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R604F1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R604G1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R604H1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R604I1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R605,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R605A1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R605B1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R605C1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R605D1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R605E1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R605F1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R605G1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R605H1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R605I1,1k,Resistor,Resistor_SMD:R_0805_2012Metric
R800,1k,Resistor,Resistor_SMD:R_1206_3216Metric
R900,1k,Resistor,Resistor_SMD:R_1206_3216Metric
R213,2.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R308,200 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R105,22 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R106,22 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R212,22 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-12,22 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-14,22 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-15,22 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R9100,30k,Resistor,Resistor_SMD:R_1206_3216Metric
R9102,30k,Resistor,Resistor_SMD:R_1206_3216Metric
R9105,30k,Resistor,Resistor_SMD:R_1206_3216Metric
R114,330 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R115,330 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R230,360 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R240,360 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R234,390 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R244,390 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R101,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R104,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R109,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R201,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R300,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R309,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R500,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R806,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R807,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R902,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R9104,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R916,4.7k,Resistor,Resistor_SMD:R_1206_3216Metric
R310,47 0.5W,Resistor,Resistor_SMD:R_1206_3216Metric
R203A1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R203B1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-10,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-11,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-13,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-2,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-3,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-4,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-5,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-6,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-7,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-8,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R500-9,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R904,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R905,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN201A1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN201B1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN201C1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN201D1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN203E1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN907A1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN907B1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN907C1,47 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R1000,470 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R111,470 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R801,470 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R803,470 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R917,470 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
R204,470k,Resistor,Resistor_SMD:R_1206_3216Metric
R205,470k,Resistor,Resistor_SMD:R_1206_3216Metric
R805,47k,Resistor,Resistor_SMD:R_1206_3216Metric
R9103,47k,Resistor,Resistor_SMD:R_1206_3216Metric
R9101,6.2k,Resistor,Resistor_SMD:R_1206_3216Metric
R307,68 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN204A1,68 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN204B1,68 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN204C1,68 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN204D1,68 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
XR1,68 Ohm,Resistor,Resistor_SMD:R_1206_3216Metric
RN300,10k,Resistor Array,Resistor_THT:R_Array_SIP10
RN600,10k,Resistor Array,Resistor_THT:R_Array_SIP6
RN205,1k,Resistor Array,Resistor_THT:R_Array_SIP6
RN301,1k,Resistor Array,Resistor_THT:R_Array_SIP6
RN607,1k,Resistor Array,Resistor_THT:R_Array_SIP6
RN700,1k,Resistor Array,Resistor_THT:R_Array_SIP10
RN701,1k,Resistor Array,Resistor_THT:R_Array_SIP10
RN702,1k,Resistor Array,Resistor_THT:R_Array_SIP10
RN703,1k,Resistor Array,Resistor_THT:R_Array_SIP10
RN704,1k,Resistor Array,Resistor_THT:R_Array_SIP10
RN800,1k,Resistor Array,Resistor_THT:R_Array_SIP6
RN903,1k,Resistor Array,Resistor_THT:R_Array_SIP6
RN908,1k,Resistor Array,Resistor_THT:R_Array_SIP6
RN101,2.7k,Resistor Array,Resistor_THT:R_Array_SIP10
RNX1,3.3k,Resistor Array,Resistor_THT:R_Array_SIP10
RNX2,3.3k,Resistor Array,Resistor_THT:R_Array_SIP10
RN100,4.7k,Resistor Array,Resistor_THT:R_Array_SIP10
RN200,4.7k,Resistor Array,Resistor_THT:R_Array_SIP9
RN705,4.7k,Resistor Array,Resistor_THT:R_Array_SIP10
RN801,4.7k,Resistor Array,Resistor_THT:R_Array_SIP8
RN503,470 Ohm,Resistor Array,Resistor_THT:R_Array_SIP6
RN504,470 Ohm,Resistor Array,Resistor_THT:R_Array_SIP6
RN802,1k,Resistor Pack,Resistor_THT:R_Array_SIP10
RN102,47 Ohm,Resistor Pack,Resistor_THT:R_Array_SIP8
RN902,47 Ohm,Resistor Pack,Resistor_THT:R_Array_SIP8
U503,CY62167ELL-45ZXI 1MX16 SRAM,SRAM,Package_SO:TSOP-I-48_18.4x12mm_P0.5mm
Q200,MMBFJ211,Transistor,Package_TO_SOT_SMD:SOT-23
Q201,MMBFJ211,Transistor,Package_TO_SOT_SMD:SOT-23
Q300,MMBT3904,Transistor,Package_TO_SOT_SMD:SOT-23
Q301,MMBT3904,Transistor,Package_TO_SOT_SMD:SOT-23
Q9100,MMBT3904,Transistor,Package_TO_SOT_SMD:SOT-23
Q202,MMBT3906,Transistor,Package_TO_SOT_SMD:SOT-23
Q302,MMBT3906,Transistor,Package_TO_SOT_SMD:SOT-23
HY200,Video Hybrid,Video Hybrid,Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical
CN202,DB15_Female_HighDensity,Video Port,AmigaFootprints:DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm
U805,LM339,Voltage Comparator,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm
