Reference,Value,Device
BT800,Battery_Cell,BATTERY HOLDER
C204,0.01uF,Capacitor
C401,0.01uf,Capacitor
C407,0.01uf,Capacitor
C413,0.01uf,Capacitor
C210,0.047uF,Capacitor
C211,0.047uF,Capacitor
C212,0.047uF,Capacitor
C213,0.047uF,Capacitor
C100,0.1uF,Capacitor
C101,0.1uF,Capacitor
C102,0.1uF,Capacitor
C103,0.1uF,Capacitor
C104,0.1uF,Capacitor
C105,0.1uF,Capacitor
C106,0.1uF,Capacitor
C107,0.1uF,Capacitor
C108,0.1uF,Capacitor
C110,0.1uF,Capacitor
C200,0.1uF,Capacitor
C202,0.1uF,Capacitor
C203,0.1uF,Capacitor
C205,0.1uF,Capacitor
C206,0.1uF,Capacitor
C218,0.1uF,Capacitor
C234,0.1uF,Capacitor
C244,0.1uF,Capacitor
C300,0.1uF,Capacitor
C301,0.1uF,Capacitor
C302,0.1uF,Capacitor
C303,0.1uF,Capacitor
C305,0.1uF,Capacitor
C409,0.1uF,Capacitor
C501,0.1uF,Capacitor
C502,0.1uF,Capacitor
C503,0.1uF,Capacitor
C504,0.1uF,Capacitor
C540,0.1uF,Capacitor
C541,0.1uF,Capacitor
C600,0.1uF,Capacitor
C601,0.1uF,Capacitor
C602,0.1uF,Capacitor
C603,0.1uF,Capacitor
C604,0.1uF,Capacitor
C605,0.1uF,Capacitor
C606,0.1uF,Capacitor
C607,0.1uF,Capacitor
C800,0.1uF,Capacitor
C802,0.1uF,Capacitor
C803,0.1uF,Capacitor
C804,0.1uF,Capacitor
C805,0.1uF,Capacitor
C812,0.1uF,Capacitor
C815,0.1uF,Capacitor
C900,0.1uF,Capacitor
C901,0.1uF,Capacitor
C903,0.1uF,Capacitor
C906,0.1uF,Capacitor
C910,0.1uF,Capacitor
C9101,0.1uF,Capacitor
C9102,0.1uF,Capacitor
C915,0.1uF,Capacitor
C916,0.1uF,Capacitor
C918,0.1uF,Capacitor
C919,0.1uF,Capacitor
CX2,0.1uF,Capacitor
C201,0.22uF,Capacitor
C219,0.22uF,Capacitor
C220,0.22uF,Capacitor
C221,0.22uF,Capacitor
C500,0.22uF,Capacitor
C700,0.22uF,Capacitor
C702,0.22uF,Capacitor
C703,0.22uF,Capacitor
C704,0.22uF,Capacitor
C705,0.22uF,Capacitor
C9001,0.33uF,Capacitor
C310,1000pF,Capacitor
C311,1000pF,Capacitor
C312,1000pF,Capacitor
C313,1000pF,Capacitor
C314,1000pF,Capacitor
C315,1000pF,Capacitor
C316,1000pF,Capacitor
C617,1000pF,Capacitor
C619,1000pF,Capacitor
C620,1000pF,Capacitor
C621,1000pF,Capacitor
C622,1000pF,Capacitor
C623,1000pF,Capacitor
C624,1000pF,Capacitor
C625,1000pF,Capacitor
C626,1000pF,Capacitor
C627,1000pF,Capacitor
C628,1000pF,Capacitor
C629,1000pF,Capacitor
C630,1000pF,Capacitor
